No.,Zone Name,Channel Members
1,Analog Repeaters,KE8IL UHF|K8LOD UHF|K8LOD VHF|KE8IL 2M
2,KB0P DMR,KB0P DMR U.P.TG|KB0P DMR Local
3,Pi-Star,World-wide 91|Europe 92|N Ameri 93|Asia Middle E 94|Aust New Ze 95|Radio Test 98|Diethnes Ell 202|Nederland 204|Belgium 206|France 208|Andorra 213|Spain 214|Hungary 216|Bosnia & Her 218|Croatia 219|Serbia 220|Italia 222|Romania 226|Switzerland 228|Czech Rep 230|Slovak 231|Austria 232|UK Call - QS 235|Denmark 238|Sweden 240|Norway 242|Finland 244|Lithuania 246|Latvia 247|Estonia 248|Ukraine 255|Moldova 259|Poland 260|Deutschland 262|MultiMode DL 263|DL OPS 264|265 265|Portugal 268|Luxembourg 270|Ireland 272|Iceland 274|Albania 276|Malta 278|Cyprus 280|Georgia 282|Armenia 283|Bulgaria 284|Turkiye 286|Faroe Island 288|San Marino 292
4,GMRS/FRS,GMRS/FRS 01|GMRS/FRS 02|GMRS/FRS 03|GMRS/FRS 04|GMRS/FRS 05|GMRS/FRS 06|GMRS/FRS 07|GMRS/FRS 08|GMRS/FRS 09|GMRS/FRS 10|GMRS/FRS 11|GMRS/FRS 12|GMRS/FRS 13|GMRS/FRS 14|GMRS/FRS 15|GMRS/FRS 16|GMRS/FRS 17|GMRS/FRS 18|GMRS/FRS 19|GMRS/FRS 20|GMRS/FRS 21|GMRS/FRS 22
5,Air Band,Air 121.5 Emerge|Air 122.75 Air-t|Air 122.8 Unicom|Air 123.0 Unicom|Air 123.025 Heli|Air 123.45 Air-t|Air 123.1 SAR
6,Marine,Marine Ch16 Dist|Marine Ch13 Nav|Marine Ch09 Call|Marine Ch22A USC
7,Ham Calls,2m Calling|70cm Calling|1.25m Calling|6m Calling|10m FM Calling
8,NOAA,NOAA WX 1|NOAA WX 2|NOAA WX 3|NOAA WX 4|NOAA WX 5|NOAA WX 6|NOAA WX 7
9,MURS,MURS 1|MURS 2|MURS 3|MURS 4|MURS 5
10,Popular TGs,Worldwide 91|N Ameri 93|USA Bridge 3100|Amer Link 31656|SkyHub Li 310847|Midwest Reg 3169|Northeast R 3172|MidAtlantic 3173|TX-OK Regio 3175|Southwest R 3176|Mountain Re 3177|First Coas 31121|TAC 310 310|TAC 311 311|TAC 312 312|TAC 313 313|TAC 314 314|TAC 315 315|TAC 316 316|TAC 317 317|TAC 318 318|TAC 319 319|JOTA 907|POTA 3181|SOTA 973|Parrot 9990
